GraphConstruction,GraphSimplification,EntirePipeline
SuperMikeII:15DN[Baseline],1,1,1
SwatIII-FullScaleupSSD:2DN,1.6480129195,2.1017967015,1.9080473434
SwatIII-FullScaleupHDD:2DN,2.2378729825,2.825527543,2.5760645198
SwatIII-MediumSSD:7DN,1.8298408906,1.7990778494,1.8103013825
SwatIII-MediumHDD:7DN,1.8465963791,1.7418428627,1.7790606152
SwatIII-Basic-SSD:15DN,1.7105042848,0.9097982759,1.0996244403
SwatIII-Basic-HDD:15DN,1.01,1.005,1.00
SwatIII-Memory:15DN,1.7656812475,0.8839686229,1.0834973181
CeresII:32DN,2.1611832971,2.2488870847,2.2157277423


